year,semester,teacherName,type,className,ethnicity,RACE
2023,1,Sean Kussner,Hn,Precalc,33,Hispanic
2023,1,Sean Kussner,Hn,Precalc,2,afAm
2023,1,Sean Kussner,Hn,Precalc,2,afAm
2023,1,Sean Kussner,Hn,Precalc,3,Asian
2023,1,Sean Kussner,Hn,Precalc,3,Asian
2023,1,Sean Kussner,Hn,Precalc,3,Asian
2023,1,Sean Kussner,Hn,Precalc,3,Asian
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,1,White
2023,1,Sean Kussner,Hn,Precalc,7,brown
2023,1,Sean Kussner,Hn,Precalc,7,brown
2023,1,Sean Kussner,Hn,Precalc,10,brown
