cp_p,AP_p,Hn_p,,cp_w,NCP,AP_w,NAP,Hn_w,NHn
0.1427844013,0.2560599031,0.001117186964,,0.660400417,22,0.3940062555,50,0.3978382398,128
0.8468424646,0,0.00008102913438,,0.3418728034,23,1.27482522,36,0.4761614898,125
0.06994761517,0.2037634613,0.1885034575,,0.603353893,28,0.4009622805,45,0.1785711562,234
0.00001747704008,0.7759405959,0.4631173572,,1.134924722,23,0.2566833525,38,0.2069505703,132
0.08141890692,0.5298351262,0.3679655613,,0.6524093406,23,0.2848188221,51,0.1573987841,263
,,0.671479375,,,,,,0.1260921174,254
0.000003696585297,0.000000004547935806,0.4776221947,,0.5642798555,111,0.6656671378,113,0.1283944156,274
0.000000005901260036,0,,,0.6561231181,115,0.7045669239,118,,
0.01950979422,0.0000002691415999,0.000006932507996,,0.3066822834,143,0.6351666289,96,0.2897974521,377
0.0000005723525285,0.00000009227921127,0.02418653042,,0.5860918,108,0.599969136,114,0.2128014823,321
0.00000003044823216,0.0002565624696,0.194950478,,0.4755183784,192,0.4552069137,114,0.1756470707,280
,,0.01428258316,,,,,,0.1974301046,408
0.000005574436637,0.0000001349501475,0.0002788931166,,0.5896628611,99,0.5774400647,128,0.2399490837,407
0.0000000001329851784,0.00003565513449,,,0.7411765518,105,0.4488706586,150,,
0.08648941116,0.000006893954324,0.007243669401,,0.290612989,114,0.4160290355,183,0.7271833958,30
0.002932784725,0.05126161155,0.4524300643,,0.4933461599,74,0.2394217939,192,0.6188343522,15
0.0000006617789756,0.00004131649108,0.9371013629,,0.5360724756,128,0.3957279307,177,0.1897633501,50
,,0.3167401271,,,,,,0.5658711666,22
0,,0.9371697877,,0.5574388977,189,,,0.1938838196,34
0.0000005328860626,,,,0.5158764398,149,,,,
0.00000002667521959,,0.08764129069,,0.5452193145,147,,,0.1566306344,391
0.0003615632337,,0.01270135116,,0.4083429066,137,,,0.2250257596,320
0.000004492635636,,0.9624016397,,0.4632013323,152,,,0.07121163291,287
0.02214865458,,0.3439805269,,0.6020475512,95,,,0.1570279325,274
,,0.3102805976,,0.3738552369,71,,,0.1274190857,367
0.7697551823,,,,0.5053125353,74,,,,
0.7419011451,,0.007122145657,,0.9606955308,16,,,0.6942290258,33
,,0.01239774594,,,,,,0.7243570625,31
0.5674980107,,0.0009235605667,,0.6512368576,6,,,0.694162458,47
,,,,0.674234557,6,,,,
0.2150751661,,0.0001253329774,,,,,,0.8372916516,36
,,,,0.6940414369,10,,,,
0.009406051482,,0,,,,,,0.5055761026,242
0.08266878487,,0.0008168402917,,0.6650020161,16,,,0.2936672206,266
0.1692713096,,0.0001028788197,,,,,,0.3522303363,224
0.05775511542,,0.1239331128,,0.8138603407,23,,,0.2060228216,236
0.0006782551222,,0.0001791878721,,0.811329474,17,,,0.2853852642,300
,,,,0.524473975,33,,,,
0,,,,0.5591913958,39,,,,
0.00000005329947672,,,,0.7934973201,34,,,,
0.000003285902931,,,,,,,,,
0,,,,0.719300312,115,,,,
0.000134762274,,,,0.6054112987,122,,,,
,,,,0.5795842349,106,,,,
0,,,,0.9187281219,82,,,,
0.000005184270126,,,,0.5529854952,82,,,,
0.000001039658891,,,,,,,,,
0.01083685675,,,,0.8163718542,89,,,,
0.00008912253714,,,,0.5607255881,110,,,,
0.00000554647816,,,,0.6781617881,83,,,,
0.1279103828,,,,0.5094125865,64,,,,
0.002010450594,,,,0.5888163118,75,,,,
0.01707229953,,,,0.3849244849,93,,,,
0.00194828363,,,,0.5664273526,65,,,,
0.01546090316,,,,0.4002489646,98,,,,
0.1211505014,,,,0.2974187787,114,,,,
,,,,,,,,,
0.7941379562,,,,0.1858038547,69,,,,
0.09275087632,,,,0.4404046021,56,,,,
0.0004072722759,,,,0.8905598021,31,,,,
0.000003638266384,,,,2.42828164,6,,,,
0.0001009398747,,,,1.230109019,17,,,,
