SUM of Total Students,,Student Group,,,,,,,,Expected Vaules ,,,,,,,my X^2,,,,,,,,,
Course,Year,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Grand Total,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Asian,Black,Hispanic/Latino,Multi-Race NH,Nat Hawaiian - Pac. Islander,Native American,White,Result,p-value:,Cohen's w
Algebra 1,2020,,11,4,3,,,4,22,2.156,6.028,3.344,1.848,0.088,0.044,8.47,2.156,4.100992701,0.1286889952,0.7181298701,0.088,0.044,2.359020071,9.594831637,0.1427844013,0.660400417
,2021,3,4,4,4,,,8,23,2.438,6.279,3.496,2.185,0.069,0.046,8.556,0.1295504512,0.8271764612,0.0726590389,1.507654462,0.069,0.046,0.03613090229,2.688171316,0.8468424646,0.3418728034
,2022,3,10,8,4,,,3,28,3.108,7.308,4.256,2.8,0,0.084,10.444,0.003752895753,0.9916343733,3.293593985,0.5142857143,0,0.084,5.305738797,10.19300577,0.06994761517,0.603353893
,2023,1,10,8,2,,1,1,23,2.737,5.957,3.335,2.392,0,0.069,8.51,1.102363537,2.743973309,6.525404798,0.06424080268,0,12.56175362,6.627508813,29.62524488,0.00001747704008,1.134924722
,2024,2,12,3,3,,,3,23,2.99,6.072,3.243,2.323,0,0.092,8.28,0.3277926421,5.78741502,0.01820814061,0.1973004735,0,0.092,3.366956522,9.789672798,0.08141890692,0.6524093406
Algebra 1 Total,,9,47,27,16,,1,19,119,13.4232,31.6064,17.6596,11.5192,0.1666,0.3332,44.268,1.457528625,7.49730817,4.940263209,1.742965539,0.1666,1.33440048,14.42287485,31.56194088,0.00001979498925,0.5150013533
Algebra 1A,2020,11,47,29,8,,,16,111,10.878,30.414,16.872,9.324,0.444,0.222,42.735,0.001368266225,9.045025186,8.71789853,0.188006864,0.444,0.222,16.72540599,35.34370484,0.000003696585297,0.5642798555
,2021,5,47,37,8,,,18,115,12.19,31.395,17.48,10.925,0.345,0.23,42.78,4.240861362,7.756522535,21.7980778,0.7831235698,0.345,0.23,14.35363254,49.50721781,0.000000005901260036,0.6561231181
,2022,12,50,29,14,,1,37,143,15.873,37.323,21.736,14.3,0,0.429,53.339,0.945009072,4.305825604,2.427571586,0.006293706294,0,0.760002331,5.005022985,13.44972528,0.01950979422,0.3066822834
,2023,3,44,24,12,,2,23,108,12.852,27.972,15.66,11.232,0,0.324,39.96,7.552280112,9.184069212,4.441609195,0.05251282051,0,8.669679012,7.198238238,37.09838859,0.0000005723525285,0.5860918
,2024,24,77,39,13,,3,36,192,24.96,50.688,27.072,19.392,0,0.768,69.12,0.03692307692,13.65848611,5.255510638,2.106933993,0,6.48675,15.87,43.41460382,0.00000003044823216,0.4755183784
Algebra 1A Total,,55,265,158,55,,6,130,669,75.4632,177.6864,99.2796,64.7592,0.9366,1.8732,248.868,5.548963657,42.90516745,34.73105629,1.470709716,0.9366,9.091649712,56.77548509,151.4596319,0,0.4758119988
Algebra 1B,2020,7,40,29,8,,,15,99,9.702,27.126,15.048,8.316,0.396,0.198,38.115,0.7525050505,6.11000059,12.93582562,0.01200769601,0.396,0.198,14.01818772,34.42252668,0.000005574436637,0.5896628611
,2021,2,46,35,8,,,14,105,11.13,28.665,15.96,9.975,0.315,0.21,39.06,7.489389039,10.48324525,22.71438596,0.3910401003,0.315,0.21,16.07792115,57.6809815,0.0000000001329851784,0.7411765518
,2022,11,37,23,13,,1,29,114,12.654,29.754,17.328,11.4,0,0.342,42.522,0.2161937727,1.764620421,1.856624192,0.2245614035,0,1.265976608,4.299997272,9.627973669,0.08648941116,0.290612989
,2023,4,25,19,11,,,15,74,8.806,19.166,10.73,7.696,0,0.222,27.38,2.622942993,1.775829907,6.373988816,1.418453222,0,0.222,5.597677137,18.01089208,0.002932784725,0.4933461599
,2024,16,51,32,4,,1,24,128,16.64,33.792,18.048,12.928,0,0.512,46.08,0.02461538462,8.762880682,10.78558865,6.165623762,0,0.465125,10.58,36.78383348,0.0000006617789756,0.5360724756
Algebra 1B Total,,40,199,138,44,,2,97,520,58.656,138.112,77.168,50.336,0.728,1.456,193.44,5.933686852,26.84305885,47.95423264,0.7975384615,0.728,0.2032527473,48.08040529,130.5401748,0,0.5010377209
Algebra 2,2020,10,90,41,9,,1,38,189,18.522,51.786,28.728,15.876,0.756,0.378,72.765,3.920984991,28.19893014,5.242341409,2.978040816,0.756,1.023502646,16.60970556,58.72950556,0,0.5574388977
,2021,8,71,26,11,,1,32,149,15.794,40.677,22.648,14.155,0.447,0.298,55.428,3.846171711,22.60452661,0.4961102084,0.703216178,0.447,1.653704698,9.902417262,39.65314667,0.0000005328860626,0.5158764398
,2022,10,64,36,9,,,28,147,16.317,38.367,22.344,14.7,0,0.441,54.831,2.445577557,17.12541218,8.346148228,2.210204082,0,0.441,13.12948079,43.69782283,0.00000002667521959,0.5452193145
,2023,10,48,33,14,,,32,137,16.303,35.483,19.865,14.248,0,0.411,50.69,2.436840397,4.415502889,8.685035238,0.004316676025,0,0.411,6.891223121,22.84391832,0.0003615632337,0.4083429066
,2024,8,62,32,16,,,34,152,19.76,40.128,21.432,15.352,0,0.608,54.72,6.998866397,11.92146093,5.211022023,0.0273517457,0,0.608,7.845730994,32.61243208,0.000004492635636,0.4632013323
Algebra 2 Total,,46,335,168,59,,2,164,774,87.3072,205.5744,114.8616,74.9232,1.0836,2.1672,287.928,19.54346001,81.48381285,24.58340781,3.384109304,1.0836,0.01289952012,53.34024195,183.4315314,0,0.4868178742
AP Calculus AB,2020,6,8,4,6,,,26,50,4.9,13.7,7.6,4.2,0.2,0.1,19.25,0.2469387755,2.371532847,1.705263158,0.7714285714,0.2,0.1,2.366883117,7.762046468,0.2560599031,0.3940062555
,2021,7,7,2,2,,2,16,36,3.816,9.828,5.472,3.42,0.108,0.072,13.392,2.65667086,0.8137549858,2.202994152,0.5895906433,0.108,51.62755556,0.5078900836,58.50645628,0,1.27482522
,2022,9,7,4,6,,,19,45,4.995,11.745,6.84,4.5,0,0.135,16.785,3.211216216,1.91698808,1.179181287,0.5,0,0.135,0.2922981829,7.234683766,0.2037634613,0.4009622805
,2023,5,7,4,4,,,18,38,4.522,9.842,5.51,3.952,0,0.114,14.06,0.05052720035,0.8206628734,0.4138112523,0.0005829959514,0,0.114,1.104096728,2.50368105,0.7759405959,0.2566833525
,2024,6,13,6,2,,,24,51,6.63,13.464,7.191,5.151,0,0.204,18.36,0.05986425339,0.01599049317,0.1972578223,1.927548243,0,0.204,1.73254902,4.137209832,0.5298351262,0.2848188221
AP Calculus AB Total,,33,42,20,20,,2,103,220,24.816,58.432,32.648,21.296,0.308,0.616,81.84,2.698978723,4.620937568,4.899899044,0.07887002254,0.308,3.109506494,5.470987292,21.18717914,0.001697803711,0.3103310486
AP Calculus BC,2020,22,9,4,11,,,67,113,11.074,30.962,17.176,9.492,0.452,0.226,43.505,10.77997797,15.57811007,10.10753237,0.2395769069,0.452,0.226,12.68854212,50.07173944,0.000000004547935806,0.6656671378
,2021,20,6,4,14,,,74,118,12.508,32.214,17.936,11.21,0.354,0.236,43.896,4.487533099,21.33152654,10.82806066,0.6943889384,0.354,0.236,20.64540769,58.57691693,0,0.7045669239
,2022,16,5,5,14,,,56,96,10.656,25.056,14.592,9.6,0,0.288,35.808,2.680024024,16.05376501,6.305267544,2.016666667,0,0.288,11.38619482,38.72991806,0.0000002691415999,0.6351666289
,2023,20,5,9,14,,,66,114,13.566,29.526,16.53,11.856,0,0.342,42.18,3.051478402,20.37271137,3.430181488,0.3877139001,0,0.342,13.45169275,41.03577791,0.00000009227921127,0.599969136
,2024,19,14,11,8,,,62,114,14.82,30.096,16.074,11.514,0,0.456,41.04,1.178974359,8.608493355,1.601684459,1.072450582,0,0.456,10.70471735,23.6223201,0.0002565624696,0.4552069137
AP Calculus BC Total,,97,39,33,61,,,325,555,62.604,147.408,82.362,53.724,0.777,1.554,206.46,18.89791093,79.72630023,29.584117,0.9854101705,0.777,1.554,68.06030999,199.5850483,0,0.5996771629
AP Statistics,2020,17,19,11,4,,2,75,128,12.544,35.072,19.456,10.752,0.512,0.256,49.28,1.582903061,7.365111314,3.675161184,4.240095238,0.512,11.881,13.42366883,42.67993963,0.0000001349501475,0.5774400647
,2021,24,24,9,13,1,,79,150,15.9,40.95,22.8,14.25,0.45,0.3,55.8,4.126415094,7.015934066,8.352631579,0.1096491228,0.6722222222,0.3,9.645878136,30.22273022,0.00003565513449,0.4488706586
,2022,23,27,12,25,,1,95,183,20.313,47.763,27.816,18.3,0,0.549,68.259,0.3554358785,9.025860373,8.992876618,2.453005464,0,0.3704936248,10.47599703,31.67366898,0.000006893954324,0.4160290355
,2023,27,37,19,23,,,86,192,22.848,49.728,27.84,19.968,0,0.576,71.04,0.754512605,3.257761905,2.806954023,0.4603878205,0,0.576,3.15036036,11.00597671,0.05126161155,0.2394217939
,2024,30,26,14,17,,,90,177,23.01,46.728,24.957,17.877,0,0.708,63.72,2.123428944,9.194700907,4.810508034,0.043023382,0,0.708,10.83864407,27.71830533,0.00004131649108,0.3957279307
AP Statistics Total,,121,133,65,82,1,3,425,830,93.624,220.448,123.172,80.344,1.162,2.324,308.76,8.004842519,34.6891453,27.47362699,0.03413243055,0.02258519793,0.1966333907,43.7612955,114.1822613,0,0.3709029382
Applied Mathematics,2022,5,47,19,4,,,20,95,10.545,24.795,14.44,9.5,0,0.285,35.435,2.915791844,19.88554245,1.44,3.184210526,0,0.285,6.723274305,34.43381912,0.00000554647816,0.6020475512
,2023,5,22,18,5,,,21,71,8.449,18.389,10.295,7.384,0,0.213,26.27,1.407930051,0.7090826581,5.76658815,0.7696988082,0,0.213,1.057209745,9.923509412,0.1279103828,0.3738552369
,2024,5,33,15,4,,,17,74,9.62,19.536,10.434,7.474,0,0.296,26.64,2.218752599,9.279243243,1.998117309,1.614754616,0,0.296,3.488348348,18.89521612,0.002010450594,0.5053125353
Applied Mathematics Total,,15,102,52,13,,,58,240,27.072,63.744,35.616,23.232,0.336,0.672,89.28,5.383170213,22.95936145,7.536934412,4.506449036,0.336,0.672,10.95921147,52.35312658,0.0000000004566006462,0.4670524889
Applied Mathematics (HN Opt),2020,9,52,25,10,,1,31,128,12.544,35.072,19.456,10.752,0.512,0.256,49.28,1.001270408,8.170540146,1.579766447,0.0525952381,0.512,2.16225,6.780811688,20.25923393,0.001117186964,0.3978382398
,2021,5,50,30,6,,1,33,125,13.25,34.125,19,11.875,0.375,0.25,46.5,5.136792453,7.38507326,6.368421053,2.906578947,0.375,2.25,3.919354839,28.34122055,0.00008102913438,0.4761614898
Applied Mathematics (HN Opt) Total,,14,102,55,16,,2,64,253,28.5384,67.1968,37.5452,24.4904,0.3542,0.7084,94.116,7.406339338,18.02560137,8.114753498,2.943475491,0.3542,2.354927386,9.636761613,48.8360587,0.000000008040999533,0.4393494054
Business Math,2020,1,8,6,1,,,,16,1.568,4.384,2.432,1.344,0.064,0.032,6.16,0.205755102,2.982540146,5.234631579,0.08804761905,0.064,0.032,6.16,14.76697445,0.02214865458,0.9606955308
Business Math Total,,1,8,6,1,,,,16,1.8048,4.2496,2.3744,1.5488,0.0224,0.0448,5.952,0.3588780142,3.309840964,5.536125067,0.194461157,0.0224,0.0448,5.952,15.4185052,0.008716094176,0.9816601118
Foundations of Math 1,2020,,2,2,,,,2,6,0.588,1.644,0.912,0.504,0.024,0.012,2.31,0.588,0.07709002433,1.297964912,0.504,0.024,0.012,0.0416017316,2.544656668,0.7697551823,0.6512368576
,2022,,2,2,,,,2,6,0.666,1.566,0.912,0.6,0,0.018,2.238,0.666,0.1202784163,1.297964912,0.6,0,0.018,0.0253100983,2.727553427,0.7419011451,0.674234557
Foundations of Math 1 Total,,,4,4,,,,4,12,1.3536,3.1872,1.7808,1.1616,0.0168,0.0336,4.464,1.3536,0.2072803213,2.765525966,1.1616,0.0168,0.0336,0.04822939068,5.586635678,0.4710480651,0.682314424
Foundations of Math 2,2023,,4,3,,,,3,10,1.19,2.59,1.45,1.04,0,0.03,3.7,1.19,0.7676061776,1.656896552,1.04,0,0.03,0.1324324324,4.816935162,0.5674980107,0.6940414369
Foundations of Math 2 Total,,,4,3,,,,3,10,1.128,2.656,1.484,0.968,0.014,0.028,3.72,1.128,0.6800963855,1.548690027,0.968,0.014,0.028,0.1393548387,4.506141251,0.6085201895,0.671277979
Fundamentals of Math,2023,,4,4,4,,,4,16,1.904,4.144,2.32,1.664,0,0.048,5.92,1.904,0.005003861004,1.216551724,3.279384615,0,0.048,0.6227027027,7.075642903,0.2150751661,0.6650020161
Fundamentals of Math Total,,,4,4,4,,,4,16,1.8048,4.2496,2.3744,1.5488,0.0224,0.0448,5.952,1.8048,0.01466024096,1.112944474,3.879378512,0.0224,0.0448,0.640172043,7.519155271,0.1848029122,0.6855269538
Geometry,2020,,12,6,3,,,2,23,2.254,6.302,3.496,1.932,0.092,0.046,8.855,2.254,5.151888924,1.793482838,0.5903850932,0.092,0.046,5.306722191,15.23447905,0.009406051482,0.8138603407
,2021,,10,3,2,,,2,17,1.802,4.641,2.584,1.615,0.051,0.034,6.324,1.802,6.188080371,0.06697213622,0.09178018576,0.051,0.034,2.956511069,11.19034376,0.08266878487,0.811329474
,2022,3,16,4,3,,,7,33,3.663,8.613,5.016,3.3,0,0.099,12.309,0.120002457,6.335512481,0.2057926635,0.02727272727,0,0.099,2.289827037,9.077407366,0.1692713096,0.524473975
,2023,1,13,7,9,,,9,39,4.641,10.101,5.655,4.056,0,0.117,14.43,2.856470804,0.832016731,0.3198983201,6.026414201,0,0.117,2.043305613,12.19510567,0.05775511542,0.5591913958
,2024,,14,9,5,,1,5,34,4.42,8.976,4.794,3.434,0,0.136,12.24,4.42,2.81200713,3.69012015,0.7141397787,0,5.488941176,4.28248366,21.4076919,0.0006782551222,0.7934973201
Geometry Total,,4,65,29,22,,1,25,146,16.4688,38.7776,21.6664,14.1328,0.2044,0.4088,54.312,9.440334052,17.73225423,2.482262349,4.379375342,0.2044,0.854983953,15.8195858,50.91319573,0.0000000009010204804,0.5905256292
Geometry A,2020,7,59,23,3,3,,20,115,11.27,31.51,17.48,9.66,0.46,0.23,44.275,1.617826087,23.98286576,1.743157895,4.591677019,14.02521739,0.23,13.30944382,59.50018797,0,0.719300312
,2021,7,59,28,10,,,18,122,12.932,33.306,18.544,11.59,0.366,0.244,45.384,2.721050418,19.82170288,4.821825712,0.2181276963,0.366,0.244,16.52307985,44.71578655,0.00000005329947672,0.6054112987
,2022,5,45,28,10,,,18,106,11.766,27.666,16.112,10.6,0,0.318,39.538,3.890766276,10.86053481,8.77138431,0.03396226415,0,0.318,11.73264819,35.60729584,0.000003285902931,0.5795842349
,2023,4,28,16,11,,4,19,82,9.758,21.238,11.89,8.528,0,0.246,30.34,3.397680262,2.152963744,1.420698066,0.7165553471,0,57.28665041,4.23848385,69.21303168,0,0.9187281219
,2024,5,30,23,9,,,15,82,10.66,21.648,11.562,8.282,0,0.328,29.52,3.00521576,3.222279379,11.31532987,0.06224631731,0,0.328,7.14195122,25.07502255,0.000134762274,0.5529854952
Geometry A Total,,28,221,118,43,3,4,90,507,57.1896,134.6592,75.2388,49.0776,0.7098,1.4196,188.604,14.89838621,55.36000321,24.30288927,0.7526289338,7.389428064,4.690380502,51.55112731,158.9448435,0,0.5599113122
